"TimeWindow","Topic","Discipline","Weight"
"2006_2012","6","Materials Science",13
"2006_2012","6","Mathematical & Computational Biology",73
"2006_2012","6","Mathematical Methods In Social Sciences",1
"2006_2012","6","Mathematics",31
"2006_2012","6","Mechanics",1
"2006_2012","6","Medical Subscience",5
"2006_2012","6","Medicine, General & Internal",1
"2006_2012","6","Medicine, Legal",3
"2006_2012","6","Medicine, Research & Experimental",18
"2006_2012","6","Meteorology & Atmospheric Sciences",18
"2006_2012","6","Microbiology",781
"2006_2012","6","Microscopy",1
"2006_2012","6","Mineralogy",2
"2006_2012","6","Multidisciplinary Sciences",174
"2006_2012","6","Mycology",67
"2006_2012","6","Nanoscience & Nanotechnology",9
"2006_2012","6","Neurosciences",26
"2006_2012","6","Nutrition & Dietetics",5
"2006_2012","6","Obstetrics & Gynecology",3
"2006_2012","6","Oceanography",89
"2006_2012","6","Oncology",25
"2006_2012","6","Operations Research & Management Science",5
"2006_2012","6","Optics",5
"2006_2012","6","Ornithology",20
"2006_2012","6","Orthopedics",1
"2006_2012","6","Paleontology",62
"2006_2012","6","Parasitology",53
"2006_2012","6","Pathology",17
"2006_2012","6","Pediatrics",5
"2006_2012","6","Peripheral Vascular Disease",2
"2006_2012","6","Pharmacology & Pharmacy",110
"2006_2012","6","Philosophy",1
"2006_2012","6","Physical Geography",85
"2006_2012","6","Physics",6
"2006_2012","6","Physiology",21
"2006_2012","6","Planning & Development",3
"2006_2012","6","Plant Sciences",450
"2006_2012","6","Political Science",1
"2006_2012","6","Polymer Science",5
"2006_2012","6","Psychology",7
"2006_2012","6","Public Administration",4
"2006_2012","6","Public, Environmental & Occupational Health",31
"2006_2012","6","Remote Sensing",14
"2006_2012","6","Reproductive Biology",9
"2006_2012","6","Research & Experimental Medicine",18
"2006_2012","6","Respiratory System",4
"2006_2012","6","Robotics",3
"2006_2012","6","Science & Technology - Other Topics",183
"2006_2012","6","Social Sciences",9
"2006_2012","6","Sociology",13
"2006_2012","6","Soil Science",26
"2006_2012","6","Spectroscopy",2
"2006_2012","6","Statistics & Probability",21
"2006_2012","6","Surgery",2
"2006_2012","6","Telecommunications",9
"2006_2012","6","Thermodynamics",1
"2006_2012","6","Toxicology",30
"2006_2012","6","Transportation",1
"2006_2012","6","Tropical Medicine",14
"2006_2012","6","Urban Studies",8
"2006_2012","6","Veterinary Sciences",29
"2006_2012","6","Virology",169
"2006_2012","6","Water Resources",38
"2006_2012","6","Zoology",160
"1990_1995","7","Agriculture",51
"1990_1995","7","Agronomy",24
"1990_1995","7","Anatomy & Morphology",3
"1990_1995","7","Anthropology",7
"1990_1995","7","Archaeology",1
"1990_1995","7","Behavioral Sciences",6
"1990_1995","7","Biochemical Research Methods",1
"1990_1995","7","Biochemistry & Molecular Biology",11
"1990_1995","7","Biodiversity Conservation",48
"1990_1995","7","Biology",33
"1990_1995","7","Biophysics",3
"1990_1995","7","Biotechnology & Applied Microbiology",5
"1990_1995","7","Business",4
"1990_1995","7","Cell Biology",9
"1990_1995","7","Computer Science",4
"1990_1995","7","Developmental Biology",1
"1990_1995","7","Ecology",344
"1990_1995","7","Economics",4
"1990_1995","7","Engineering",13
"1990_1995","7","Entomology",23
"1990_1995","7","Environmental Studies",15
"1990_1995","7","Ethics",1
"1990_1995","7","Ethnic Studies",1
"1990_1995","7","Evolutionary Biology",74
"1990_1995","7","Fisheries",14
"1990_1995","7","Forestry",58
"1990_1995","7","Genetics & Heredity",96
"1990_1995","7","Geography",43
"1990_1995","7","Geology",14
"1990_1995","7","Geosciences, Multidisciplinary",13
"1990_1995","7","Geriatrics & Gerontology",1
"1990_1995","7","Government & Law",2
"1990_1995","7","Hematology",2
"1990_1995","7","History",1
"1990_1995","7","Horticulture",15
"1990_1995","7","Imaging Science & Photographic Technology",1
"1990_1995","7","Immunology",7
"1990_1995","7","Law",2
"1990_1995","7","Life Sciences & Biomedicine - Other Topics",33
"1990_1995","7","Limnology",7
"1990_1995","7","Marine & Freshwater Biology",80
"1990_1995","7","Materials Science",1
"1990_1995","7","Mathematical & Computational Biology",6
"1990_1995","7","Mathematics",4
"1990_1995","7","Medicine, Research & Experimental",1
"1990_1995","7","Meteorology & Atmospheric Sciences",5
"1990_1995","7","Microbiology",2
"1990_1995","7","Multidisciplinary Sciences",43
"1990_1995","7","Mycology",6
"1990_1995","7","Neurosciences",5
"1990_1995","7","Oceanography",14
"1990_1995","7","Oncology",4
"1990_1995","7","Ornithology",14
"1990_1995","7","Paleontology",14
"1990_1995","7","Parasitology",8
"1990_1995","7","Pathology",1
"1990_1995","7","Physical Geography",36
"1990_1995","7","Physics",2
"1990_1995","7","Physiology",4
"1990_1995","7","Planning & Development",1
"1990_1995","7","Plant Sciences",134
"1990_1995","7","Psychology",3
"1990_1995","7","Public Administration",1
"1990_1995","7","Public, Environmental & Occupational Health",4
"1990_1995","7","Remote Sensing",1
"1990_1995","7","Research & Experimental Medicine",1
"1990_1995","7","Science & Technology - Other Topics",43
"1990_1995","7","Social Sciences",4
"1990_1995","7","Sociology",3
"1990_1995","7","Soil Science",10
"1990_1995","7","Sport Sciences",1
"1990_1995","7","Statistics & Probability",1
"1990_1995","7","Toxicology",2
"1990_1995","7","Transplantation",2
"1990_1995","7","Tropical Medicine",1
"1990_1995","7","Urban Studies",4
"1990_1995","7","Veterinary Sciences",5
"1990_1995","7","Virology",3
"1990_1995","7","Water Resources",7
"1990_1995","7","Zoology",106
"1996_2000","7","Agriculture",80
"1996_2000","7","Agronomy",59
"1996_2000","7","Anatomy & Morphology",4
"1996_2000","7","Anthropology",10
"1996_2000","7","Automation & Control Systems",1
"1996_2000","7","Behavioral Sciences",19
"1996_2000","7","Biochemistry & Molecular Biology",22
"1996_2000","7","Biodiversity Conservation",158
"1996_2000","7","Biology",49
"1996_2000","7","Biophysics",3
"1996_2000","7","Biotechnology & Applied Microbiology",5
"1996_2000","7","Business",2
"1996_2000","7","Cell Biology",8
"1996_2000","7","Chemistry",1
"1996_2000","7","Computer Science",7
"1996_2000","7","Developmental Biology",2
"1996_2000","7","Ecology",670
"1996_2000","7","Economics",2
"1996_2000","7","Energy & Fuels",1
"1996_2000","7","Engineering",8
"1996_2000","7","Entomology",51
"1996_2000","7","Environmental Studies",15
"1996_2000","7","Ethics",1
"1996_2000","7","Evolutionary Biology",112
"1996_2000","7","Fisheries",38
"1996_2000","7","Food Science & Technology",1
"1996_2000","7","Forestry",127
"1996_2000","7","Gastroenterology & Hepatology",1
"1996_2000","7","Genetics & Heredity",96
"1996_2000","7","Geography",57
"1996_2000","7","Geology",15
"1996_2000","7","Geosciences, Multidisciplinary",12
"1996_2000","7","Government & Law",1
"1996_2000","7","History",2
"1996_2000","7","Horticulture",25
"1996_2000","7","Imaging Science & Photographic Technology",2
"1996_2000","7","Immunology",8
"1996_2000","7","Infectious Diseases",6
"1996_2000","7","Instruments & Instrumentation",1
"1996_2000","7","Law",1
"1996_2000","7","Life Sciences & Biomedicine - Other Topics",49
"1996_2000","7","Limnology",6
"1996_2000","7","Marine & Freshwater Biology",110
"1996_2000","7","Mathematical & Computational Biology",6
"1996_2000","7","Mathematics",3
"1996_2000","7","Medicine, Research & Experimental",3
"1996_2000","7","Meteorology & Atmospheric Sciences",2
"1996_2000","7","Microbiology",7
"1996_2000","7","Multidisciplinary Sciences",46
"1996_2000","7","Mycology",7
"1996_2000","7","Neurosciences",5
"1996_2000","7","Oceanography",34
"1996_2000","7","Oncology",1
"1996_2000","7","Optics",1
"1996_2000","7","Ornithology",31
"1996_2000","7","Paleontology",21
"1996_2000","7","Parasitology",8
"1996_2000","7","Pathology",1
"1996_2000","7","Physical Geography",53
"1996_2000","7","Physics",1
"1996_2000","7","Physiology",6
"1996_2000","7","Plant Sciences",222
"1996_2000","7","Psychology",2
"1996_2000","7","Public, Environmental & Occupational Health",7
"1996_2000","7","Remote Sensing",3
"1996_2000","7","Reproductive Biology",1
"1996_2000","7","Research & Experimental Medicine",3
"1996_2000","7","Science & Technology - Other Topics",46
"1996_2000","7","Social Sciences",1
"1996_2000","7","Sociology",1
"1996_2000","7","Soil Science",13
"1996_2000","7","Statistics & Probability",1
"1996_2000","7","Tropical Medicine",4
"1996_2000","7","Urban Studies",4
"1996_2000","7","Veterinary Sciences",3
"1996_2000","7","Virology",2
"1996_2000","7","Water Resources",8
"1996_2000","7","Zoology",168
"2001_2005","7","Agriculture",80
"2001_2005","7","Agronomy",37
"2001_2005","7","Anatomy & Morphology",2
"2001_2005","7","Anthropology",5
"2001_2005","7","Archaeology",1
"2001_2005","7","Automation & Control Systems",5
"2001_2005","7","Behavioral Sciences",5
"2001_2005","7","Biochemistry & Molecular Biology",39
"2001_2005","7","Biodiversity Conservation",173
"2001_2005","7","Biology",57
"2001_2005","7","Biomedical Social Sciences",1
"2001_2005","7","Biophysics",1
"2001_2005","7","Biotechnology & Applied Microbiology",10
"2001_2005","7","Cell Biology",8
"2001_2005","7","Computer Science",33
"2001_2005","7","Developmental Biology",3
"2001_2005","7","Ecology",790
"2001_2005","7","Education",1
"2001_2005","7","Endocrinology & Metabolism",1
"2001_2005","7","Energy & Fuels",2
"2001_2005","7","Engineering",15
"2001_2005","7","Entomology",47
"2001_2005","7","Environmental Studies",15
"2001_2005","7","Ethics",2
"2001_2005","7","Evolutionary Biology",140
"2001_2005","7","Fisheries",48
"2001_2005","7","Forestry",132
"2001_2005","7","Genetics & Heredity",145
"2001_2005","7","Geochemistry & Geophysics",3
"2001_2005","7","Geography",81
"2001_2005","7","Geology",27
"2001_2005","7","Geosciences, Multidisciplinary",21
"2001_2005","7","Geriatrics & Gerontology",1
"2001_2005","7","Government & Law",2
"2001_2005","7","History",1
"2001_2005","7","Horticulture",21
"2001_2005","7","Imaging Science & Photographic Technology",4
"2001_2005","7","Immunology",15
"2001_2005","7","Infectious Diseases",5
"2001_2005","7","Instruments & Instrumentation",1
"2001_2005","7","Law",2
"2001_2005","7","Life Sciences & Biomedicine - Other Topics",57
"2001_2005","7","Limnology",22
"2001_2005","7","Marine & Freshwater Biology",122
"2001_2005","7","Mathematical & Computational Biology",3
"2001_2005","7","Mathematical Methods In Social Sciences",1
"2001_2005","7","Mathematics",10
"2001_2005","7","Medicine, Research & Experimental",1
"2001_2005","7","Meteorology & Atmospheric Sciences",13
"2001_2005","7","Microbiology",8
"2001_2005","7","Multidisciplinary Sciences",46
"2001_2005","7","Mycology",4
"2001_2005","7","Neurosciences",4
"2001_2005","7","Nutrition & Dietetics",1
"2001_2005","7","Oceanography",34
"2001_2005","7","Oncology",2
"2001_2005","7","Operations Research & Management Science",5
"2001_2005","7","Ornithology",21
"2001_2005","7","Paleontology",14
"2001_2005","7","Parasitology",12
"2001_2005","7","Pediatrics",1
"2001_2005","7","Physical Geography",80
"2001_2005","7","Physiology",3
"2001_2005","7","Planning & Development",3
"2001_2005","7","Plant Sciences",215
"2001_2005","7","Psychiatry",1
"2001_2005","7","Psychology",2
"2001_2005","7","Public Administration",3
"2001_2005","7","Public, Environmental & Occupational Health",4
"2001_2005","7","Remote Sensing",5
"2001_2005","7","Reproductive Biology",1
"2001_2005","7","Research & Experimental Medicine",1
"2001_2005","7","Robotics",3
"2001_2005","7","Science & Technology - Other Topics",46
"2001_2005","7","Social Sciences",4
"2001_2005","7","Sociology",2
"2001_2005","7","Soil Science",15
"2001_2005","7","Statistics & Probability",1
"2001_2005","7","Substance Abuse",1
"2001_2005","7","Surgery",1
"2001_2005","7","Telecommunications",2
"2001_2005","7","Toxicology",2
"2001_2005","7","Transplantation",1
"2001_2005","7","Tropical Medicine",3
"2001_2005","7","Urban Studies",1
"2001_2005","7","Veterinary Sciences",5
"2001_2005","7","Virology",4
"2001_2005","7","Water Resources",12
"2001_2005","7","Zoology",118
"2006_2012","7","Agriculture",26
"2006_2012","7","Agronomy",19
"2006_2012","7","Anatomy & Morphology",1
"2006_2012","7","Anthropology",3
"2006_2012","7","Archaeology",1
"2006_2012","7","Automation & Control Systems",2
"2006_2012","7","Behavioral Sciences",4
"2006_2012","7","Biochemistry & Molecular Biology",28
"2006_2012","7","Biodiversity Conservation",73
"2006_2012","7","Biology",18
"2006_2012","7","Biophysics",1
"2006_2012","7","Biotechnology & Applied Microbiology",5
"2006_2012","7","Cell Biology",6
"2006_2012","7","Chemistry",2
"2006_2012","7","Computer Science",4
"2006_2012","7","Developmental Biology",2
"2006_2012","7","Ecology",289
"2006_2012","7","Engineering",1
"2006_2012","7","Entomology",17
"2006_2012","7","Environmental Studies",3
"2006_2012","7","Evolutionary Biology",63
"2006_2012","7","Fisheries",12
"2006_2012","7","Food Science & Technology",1
"2006_2012","7","Forestry",36
"2006_2012","7","Genetics & Heredity",64
"2006_2012","7","Geography",48
"2006_2012","7","Geology",9
"2006_2012","7","Geosciences, Multidisciplinary",7
"2006_2012","7","Government & Law",1
"2006_2012","7","History",2
"2006_2012","7","Horticulture",7
"2006_2012","7","Imaging Science & Photographic Technology",1
"2006_2012","7","Immunology",8
"2006_2012","7","Infectious Diseases",6
"2006_2012","7","Law",1
"2006_2012","7","Life Sciences & Biomedicine - Other Topics",18
"2006_2012","7","Limnology",4
"2006_2012","7","Marine & Freshwater Biology",42
"2006_2012","7","Mathematics",2
"2006_2012","7","Meteorology & Atmospheric Sciences",2
"2006_2012","7","Microbiology",15
"2006_2012","7","Multidisciplinary Sciences",19
"2006_2012","7","Mycology",6
"2006_2012","7","Oceanography",13
"2006_2012","7","Ornithology",12
"2006_2012","7","Paleontology",5
"2006_2012","7","Parasitology",5
"2006_2012","7","Pharmacology & Pharmacy",1
"2006_2012","7","Physical Geography",48
"2006_2012","7","Physics",1
"2006_2012","7","Physiology",1
"2006_2012","7","Plant Sciences",84
"2006_2012","7","Public Administration",1
"2006_2012","7","Public, Environmental & Occupational Health",2
"2006_2012","7","Remote Sensing",1
"2006_2012","7","Reproductive Biology",1
"2006_2012","7","Science & Technology - Other Topics",19
"2006_2012","7","Soil Science",1
"2006_2012","7","Toxicology",1
"2006_2012","7","Veterinary Sciences",2
"2006_2012","7","Virology",2
"2006_2012","7","Water Resources",3
"2006_2012","7","Zoology",48
"1990_1995","8","Biochemistry & Molecular Biology",1
"1990_1995","8","Evolutionary Biology",1
"1990_1995","8","Genetics & Heredity",2
"1990_1995","8","Multidisciplinary Sciences",1
"1990_1995","8","Mycology",1
"1990_1995","8","Science & Technology - Other Topics",1
"1996_2000","8","Agriculture",4
"1996_2000","8","Agronomy",4
"1996_2000","8","Anthropology",1
"1996_2000","8","Biochemistry & Molecular Biology",1
"1996_2000","8","Biodiversity Conservation",1
"1996_2000","8","Biotechnology & Applied Microbiology",3
"1996_2000","8","Computer Science",1
"1996_2000","8","Ecology",5
"1996_2000","8","Endocrinology & Metabolism",1
"1996_2000","8","Entomology",1
"1996_2000","8","Evolutionary Biology",3
"1996_2000","8","Fisheries",2
"1996_2000","8","Forestry",1
"1996_2000","8","Genetics & Heredity",8
"1996_2000","8","Geography",1
"1996_2000","8","Horticulture",3
"1996_2000","8","Immunology",2
"1996_2000","8","Infectious Diseases",2
"1996_2000","8","Marine & Freshwater Biology",3
"1996_2000","8","Microbiology",7
"1996_2000","8","Parasitology",1
"1996_2000","8","Physical Geography",1
"1996_2000","8","Physiology",1
"1996_2000","8","Plant Sciences",5
"1996_2000","8","Remote Sensing",1
"1996_2000","8","Veterinary Sciences",1
"1996_2000","8","Virology",3
"1996_2000","8","Zoology",2
"2001_2005","8","Agriculture",2
"2001_2005","8","Agronomy",1
"2001_2005","8","Behavioral Sciences",1
"2001_2005","8","Biochemistry & Molecular Biology",5
"2001_2005","8","Biodiversity Conservation",4
"2001_2005","8","Biotechnology & Applied Microbiology",5
"2001_2005","8","Chemistry",1
"2001_2005","8","Ecology",14
"2001_2005","8","Entomology",1
"2001_2005","8","Evolutionary Biology",8
"2001_2005","8","Genetics & Heredity",12
"2001_2005","8","Geography",3
"2001_2005","8","Geology",1
"2001_2005","8","Geosciences, Multidisciplinary",1
"2001_2005","8","Horticulture",1
"2001_2005","8","Immunology",4
"2001_2005","8","Infectious Diseases",1
"2001_2005","8","Marine & Freshwater Biology",4
"2001_2005","8","Medicine, Research & Experimental",1
"2001_2005","8","Microbiology",10
"2001_2005","8","Multidisciplinary Sciences",3
"2001_2005","8","Oceanography",2
"2001_2005","8","Ornithology",1
"2001_2005","8","Paleontology",1
"2001_2005","8","Parasitology",8
"2001_2005","8","Physical Geography",3
"2001_2005","8","Plant Sciences",4
"2001_2005","8","Research & Experimental Medicine",1
"2001_2005","8","Science & Technology - Other Topics",3
"2001_2005","8","Veterinary Sciences",3
"2001_2005","8","Virology",4
"2001_2005","8","Zoology",2
"2006_2012","8","Agriculture",1
"2006_2012","8","Agronomy",1
"2006_2012","8","Behavioral Sciences",1
"2006_2012","8","Biochemistry & Molecular Biology",5
"2006_2012","8","Biology",1
"2006_2012","8","Ecology",12
"2006_2012","8","Engineering",1
"2006_2012","8","Entomology",1
"2006_2012","8","Evolutionary Biology",12
"2006_2012","8","Genetics & Heredity",11
"2006_2012","8","Geography",1
"2006_2012","8","Horticulture",1
"2006_2012","8","Immunology",1
"2006_2012","8","Infectious Diseases",1
"2006_2012","8","Life Sciences & Biomedicine - Other Topics",1
"2006_2012","8","Marine & Freshwater Biology",1
"2006_2012","8","Microbiology",3
"2006_2012","8","Multidisciplinary Sciences",1
"2006_2012","8","Paleontology",1
"2006_2012","8","Parasitology",1
"2006_2012","8","Physical Geography",1
"2006_2012","8","Plant Sciences",4
"2006_2012","8","Science & Technology - Other Topics",1
"2006_2012","8","Water Resources",1
"2006_2012","8","Zoology",4
"1990_1995","9","Agriculture",12
"1990_1995","9","Agronomy",5
"1990_1995","9","Anatomy & Morphology",2
"1990_1995","9","Anthropology",2
"1990_1995","9","Biochemistry & Molecular Biology",9
"1990_1995","9","Biodiversity Conservation",20
"1990_1995","9","Biology",12
"1990_1995","9","Biophysics",4
"1990_1995","9","Cell Biology",2
"1990_1995","9","Chemistry",3
"1990_1995","9","Computer Science",2
"1990_1995","9","Demography",1
"1990_1995","9","Ecology",98
"1990_1995","9","Engineering",12
"1990_1995","9","Entomology",13
"1990_1995","9","Environmental Studies",8
"1990_1995","9","Evolutionary Biology",25
"1990_1995","9","Fisheries",7
"1990_1995","9","Forestry",14
"1990_1995","9","Gastroenterology & Hepatology",1
"1990_1995","9","Genetics & Heredity",21
"1990_1995","9","Geography",16
"1990_1995","9","Geology",8
"1990_1995","9","Geosciences, Multidisciplinary",7
"1990_1995","9","Horticulture",2
"1990_1995","9","Immunology",3
"1990_1995","9","Infectious Diseases",1
"1990_1995","9","Life Sciences & Biomedicine - Other Topics",12
"1990_1995","9","Limnology",7
"1990_1995","9","Marine & Freshwater Biology",54
"1990_1995","9","Medicine, Research & Experimental",1
"1990_1995","9","Meteorology & Atmospheric Sciences",4
"1990_1995","9","Microbiology",2
"1990_1995","9","Multidisciplinary Sciences",13
"1990_1995","9","Mycology",3
"1990_1995","9","Neurosciences",2
"1990_1995","9","Oceanography",26
"1990_1995","9","Ornithology",4
"1990_1995","9","Paleontology",14
"1990_1995","9","Pathology",1
"1990_1995","9","Physical Geography",15
"1990_1995","9","Physiology",2
"1990_1995","9","Plant Sciences",33
"1990_1995","9","Public, Environmental & Occupational Health",2
"1990_1995","9","Reproductive Biology",1
"1990_1995","9","Research & Experimental Medicine",1
"1990_1995","9","Respiratory System",1
"1990_1995","9","Science & Technology - Other Topics",13
"1990_1995","9","Social Sciences",1
"1990_1995","9","Soil Science",6
"1990_1995","9","Tropical Medicine",1
"1990_1995","9","Urban Studies",5
"1990_1995","9","Veterinary Sciences",2
"1990_1995","9","Water Resources",7
"1990_1995","9","Zoology",29
"1996_2000","9","Agriculture",59
"1996_2000","9","Agronomy",42
"1996_2000","9","Allergy",1
"1996_2000","9","Anatomy & Morphology",3
"1996_2000","9","Anthropology",15
"1996_2000","9","Archaeology",2
"1996_2000","9","Automation & Control Systems",1
"1996_2000","9","Behavioral Sciences",2
"1996_2000","9","Biochemistry & Molecular Biology",48
"1996_2000","9","Biodiversity Conservation",216
"1996_2000","9","Biology",56
"1996_2000","9","Biophysics",6
"1996_2000","9","Biotechnology & Applied Microbiology",15
"1996_2000","9","Business",4
"1996_2000","9","Cell Biology",15
"1996_2000","9","Chemistry",7
"1996_2000","9","Computer Science",15
"1996_2000","9","Demography",1
"1996_2000","9","Dermatology",1
"1996_2000","9","Developmental Biology",7
"1996_2000","9","Ecology",622
"1996_2000","9","Economics",2
"1996_2000","9","Endocrinology & Metabolism",2
"1996_2000","9","Energy & Fuels",1
"1996_2000","9","Engineering",18
"1996_2000","9","Entomology",84
"1996_2000","9","Environmental Studies",27
"1996_2000","9","Ethics",5
"1996_2000","9","Evolutionary Biology",80
"1996_2000","9","Fisheries",55
"1996_2000","9","Forestry",122
"1996_2000","9","General & Internal Medicine",1
"1996_2000","9","Genetics & Heredity",85
"1996_2000","9","Geography",54
"1996_2000","9","Geology",56
"1996_2000","9","Geosciences, Multidisciplinary",41
"1996_2000","9","History",4
"1996_2000","9","Horticulture",12
"1996_2000","9","Hospitality, Leisure, Sport & Tourism",2
"1996_2000","9","Immunology",14
"1996_2000","9","Infectious Diseases",1
"1996_2000","9","Information Science & Library Science",1
"1996_2000","9","International Relations",1
"1996_2000","9","Language & Linguistics",1
"1996_2000","9","Life Sciences & Biomedicine - Other Topics",56
"1996_2000","9","Limnology",29
"1996_2000","9","Linguistics",1
"1996_2000","9","Management",2
"1996_2000","9","Marine & Freshwater Biology",248
"1996_2000","9","Materials Science",1
"1996_2000","9","Mathematical & Computational Biology",6
"1996_2000","9","Mathematics",7
"1996_2000","9","Medicine, General & Internal",1
"1996_2000","9","Medicine, Research & Experimental",2
"1996_2000","9","Meteorology & Atmospheric Sciences",11
"1996_2000","9","Microbiology",23
"1996_2000","9","Multidisciplinary Sciences",57
"1996_2000","9","Mycology",21
"1996_2000","9","Neurosciences",6
"1996_2000","9","Oceanography",83
"1996_2000","9","Oncology",2
"1996_2000","9","Operations Research & Management Science",3
"1996_2000","9","Ornithology",25
"1996_2000","9","Paleontology",38
"1996_2000","9","Parasitology",21
"1996_2000","9","Pathology",1
"1996_2000","9","Physical Geography",49
"1996_2000","9","Physiology",7
"1996_2000","9","Planning & Development",8
"1996_2000","9","Plant Sciences",231
"1996_2000","9","Psychology",1
"1996_2000","9","Public Administration",9
"1996_2000","9","Public, Environmental & Occupational Health",1
"1996_2000","9","Remote Sensing",1
"1996_2000","9","Research & Experimental Medicine",2
"1996_2000","9","Science & Technology - Other Topics",57
"1996_2000","9","Social Sciences",8
"1996_2000","9","Sociology",10
"1996_2000","9","Soil Science",15
"1996_2000","9","Statistics & Probability",5
"1996_2000","9","Surgery",1
"1996_2000","9","Toxicology",2
"1996_2000","9","Tropical Medicine",2
"1996_2000","9","Urban Studies",5
"1996_2000","9","Veterinary Sciences",2
"1996_2000","9","Water Resources",15
"1996_2000","9","Zoology",170
"2001_2005","9","Agriculture",108
"2001_2005","9","Agronomy",65
"2001_2005","9","Anatomy & Morphology",3
"2001_2005","9","Anthropology",15
"2001_2005","9","Archaeology",1
"2001_2005","9","Architecture",1
"2001_2005","9","Astronomy & Astrophysics",2
"2001_2005","9","Automation & Control Systems",8
"2001_2005","9","Behavioral Sciences",4
"2001_2005","9","Biochemical Research Methods",7
"2001_2005","9","Biochemistry & Molecular Biology",143
"2001_2005","9","Biodiversity Conservation",359
"2001_2005","9","Biology",107
"2001_2005","9","Biomedical Social Sciences",1
"2001_2005","9","Biophysics",7
"2001_2005","9","Biotechnology & Applied Microbiology",30
"2001_2005","9","Business",7
"2001_2005","9","Cardiology",1
"2001_2005","9","Cell Biology",23
"2001_2005","9","Chemistry",30
"2001_2005","9","Clinical Neurology",3
"2001_2005","9","Computer Science",48
"2001_2005","9","Construction & Building Technology",1
"2001_2005","9","Crystallography",4
"2001_2005","9","Developmental Biology",10
"2001_2005","9","Ecology",910
"2001_2005","9","Economics",7
"2001_2005","9","Endocrinology & Metabolism",1
"2001_2005","9","Energy & Fuels",7
"2001_2005","9","Engineering",30
"2001_2005","9","Entomology",85
"2001_2005","9","Environmental Studies",44
"2001_2005","9","Evolutionary Biology",204
"2001_2005","9","Fisheries",91
"2001_2005","9","Food Science & Technology",7
"2001_2005","9","Forestry",138
"2001_2005","9","Genetics & Heredity",132
"2001_2005","9","Geochemistry & Geophysics",1
"2001_2005","9","Geography",53
"2001_2005","9","Geology",91
"2001_2005","9","Geosciences, Multidisciplinary",67
"2001_2005","9","Government & Law",1
"2001_2005","9","Hematology",2
"2001_2005","9","Horticulture",29
"2001_2005","9","Imaging Science & Photographic Technology",12
"2001_2005","9","Immunology",18
"2001_2005","9","Infectious Diseases",8
"2001_2005","9","Information Science & Library Science",1
"2001_2005","9","Instruments & Instrumentation",4
"2001_2005","9","Integrative & Complementary Medicine",4
"2001_2005","9","International Relations",2
"2001_2005","9","Law",1
"2001_2005","9","Life Sciences & Biomedicine - Other Topics",107
"2001_2005","9","Limnology",42
"2001_2005","9","Marine & Freshwater Biology",360
"2001_2005","9","Materials Science",2
"2001_2005","9","Mathematical & Computational Biology",17
"2001_2005","9","Mathematical Methods In Social Sciences",2
"2001_2005","9","Mathematics",20
"2001_2005","9","Medicine, Research & Experimental",2
"2001_2005","9","Meteorology & Atmospheric Sciences",15
"2001_2005","9","Microbiology",69
"2001_2005","9","Multidisciplinary Sciences",77
"2001_2005","9","Mycology",38
"2001_2005","9","Nanoscience & Nanotechnology",1
"2001_2005","9","Neurosciences",12
"2001_2005","9","Nutrition & Dietetics",2
"2001_2005","9","Oceanography",105
"2001_2005","9","Oncology",7
"2001_2005","9","Operations Research & Management Science",1
"2001_2005","9","Ornithology",30
"2001_2005","9","Paleontology",73
"2001_2005","9","Parasitology",23
"2001_2005","9","Pathology",4
"2001_2005","9","Pharmacology & Pharmacy",15
"2001_2005","9","Physical Geography",48
"2001_2005","9","Physics",1
"2001_2005","9","Physiology",6
"2001_2005","9","Planning & Development",4
"2001_2005","9","Plant Sciences",308
"2001_2005","9","Psychology",2
"2001_2005","9","Public Administration",4
"2001_2005","9","Public, Environmental & Occupational Health",8
"2001_2005","9","Radiology, Nuclear Medicine & Medical Imaging",1
"2001_2005","9","Remote Sensing",12
"2001_2005","9","Reproductive Biology",1
"2001_2005","9","Research & Experimental Medicine",2
"2001_2005","9","Robotics",3
"2001_2005","9","Science & Technology - Other Topics",78
"2001_2005","9","Social Sciences",3
"2001_2005","9","Sociology",5
"2001_2005","9","Soil Science",26
"2001_2005","9","Statistics & Probability",13
"2001_2005","9","Telecommunications",3
"2001_2005","9","Thermodynamics",1
"2001_2005","9","Toxicology",1
"2001_2005","9","Transplantation",1
"2001_2005","9","Transportation",1
"2001_2005","9","Tropical Medicine",4
"2001_2005","9","Urban Studies",6
"2001_2005","9","Veterinary Sciences",7
"2001_2005","9","Virology",6
"2001_2005","9","Water Resources",33
"2001_2005","9","Zoology",207
"2006_2012","9","Acoustics",1
"2006_2012","9","Agriculture",61
"2006_2012","9","Agronomy",29
"2006_2012","9","Anatomy & Morphology",4
"2006_2012","9","Anthropology",12
"2006_2012","9","Archaeology",4
"2006_2012","9","Architecture",1
"2006_2012","9","Automation & Control Systems",4
"2006_2012","9","Behavioral Sciences",3
"2006_2012","9","Biochemical Research Methods",7
"2006_2012","9","Biochemistry & Molecular Biology",137
"2006_2012","9","Biodiversity Conservation",364
"2006_2012","9","Biology",100
"2006_2012","9","Biomedical Social Sciences",1
"2006_2012","9","Biophysics",4
"2006_2012","9","Biotechnology & Applied Microbiology",33
"2006_2012","9","Business",5
"2006_2012","9","Cell Biology",24
"2006_2012","9","Chemistry",20
"2006_2012","9","Computer Science",55
"2006_2012","9","Developmental Biology",8
