"Observed","Estimator","Est_s.e.","95% Lower","95% Upper","ResArea_Orig","TimeWindow","Order"
47,48,2.327,47.069,61.47,"Ecology","1996_2000",0
17,20.996,3.973,17.787,37.293,"Economics","1996_2000",0
4,8.5,5.275,4.727,31.843,"Education","1996_2000",0
2,2.5,1.107,2.037,8.808,"Electrochemistry","1996_2000",0
13,20.579,7.118,14.595,49.013,"Endocrinology & Metabolism","1996_2000",0
15,72.87,68.004,24.325,374.129,"Energy & Fuels","1996_2000",0
29,39.61,10.219,31.168,80.913,"Engineering","1996_2000",0
35,41.237,7.536,35.971,75.05,"Entomology","1996_2000",0
31,41.619,10.227,33.171,82.957,"Environmental Studies","1996_2000",0
1,1,0.312,1,2.549,"Ergonomics","1996_2000",0
7,16.333,9.445,8.8,55.392,"Ethics","1996_2000",0
45,49.497,7.189,45.495,85.889,"Evolutionary Biology","1996_2000",0
38,40.993,3.234,38.534,54.78,"Fisheries","1996_2000",0
18,23.995,5.959,19.181,48.438,"Food Science & Technology","1996_2000",0
41,44.596,3.847,41.649,60.923,"Forestry","1996_2000",0
17,23.018,5.98,18.186,47.543,"Gastroenterology & Hepatology","1996_2000",0
10,21.375,12.248,12.038,73.501,"General & Internal Medicine","1996_2000",0
44,48.498,7.19,44.495,84.897,"Genetics & Heredity","1996_2000",0
4,8.5,5.275,4.727,31.843,"Geochemistry & Geophysics","1996_2000",0
40,46.112,6.066,41.206,70.973,"Geography","1996_2000",0
33,34.995,2.64,33.278,47.329,"Geology","1996_2000",0
33,37.069,4.036,33.803,53.606,"Geosciences, Multidisciplinary","1996_2000",0
1,1,0.312,1,2.549,"Geriatrics & Gerontology","1996_2000",0
4,8.5,5.275,4.727,31.843,"Government & Law","1996_2000",0
2,2.5,1.107,2.037,8.808,"Health Care Sciences & Services","1996_2000",0
1,1,0.312,1,2.549,"Health Policy & Services","1996_2000",0
13,36.529,22.843,17.764,129.201,"Hematology","1996_2000",0
7,9.118,3.215,7.248,25.055,"History","1996_2000",0
33,38.986,6.466,34.068,66.548,"Horticulture","1996_2000",0
2,2.333,0.943,2.018,8.09,"Hospitality, Leisure, Sport & Tourism","1996_2000",0
12,16.612,4.585,12.908,35.417,"Imaging Science & Photographic Technology","1996_2000",0
41,44.595,3.846,41.649,60.916,"Immunology","1996_2000",0
33,39.378,5.904,34.365,62.806,"Infectious Diseases","1996_2000",0
3,5,2.921,3.246,19.244,"Information Science & Library Science","1996_2000",0
6,18.5,11.242,8.764,62.521,"Instruments & Instrumentation","1996_2000",0
11,44.6,23.833,20.615,128.419,"Integrative & Complementary Medicine","1996_2000",0
5,13,8.069,6.549,46.319,"International Relations","1996_2000",0
1,1,0.312,1,2.549,"Language & Linguistics","1996_2000",0
3,5,2.921,3.246,19.244,"Law","1996_2000",0
3,5,2.921,3.246,19.244,"Legal Medicine","1996_2000",0
39,47.984,10.156,40.518,92.188,"Life Sciences & Biomedicine - Other Topics","1996_2000",0
32,39.101,5.872,33.726,61.222,"Limnology","1996_2000",0
1,1,0.312,1,2.549,"Linguistics","1996_2000",0
3,4.5,2.872,3.132,20.083,"Management","1996_2000",0
43,55.493,17.129,44.664,136.782,"Marine & Freshwater Biology","1996_2000",0
9,41,22.675,18.166,120.713,"Materials Science","1996_2000",0
16,17.966,2.607,16.273,30.156,"Mathematical & Computational Biology","1996_2000",0
1,1,0.312,1,2.549,"Mathematical Methods In Social Sciences","1996_2000",0
17,32.59,16.082,19.939,99.693,"Mathematics","1996_2000",0
3,5,2.921,3.246,19.244,"Mechanics","1996_2000",0
11,41,37.148,15.534,209.511,"Medical Subscience","1996_2000",0
10,21.375,12.248,12.038,73.501,"Medicine, General & Internal","1996_2000",0
3,5,2.921,3.246,19.244,"Medicine, Legal","1996_2000",0
18,21.535,3.79,18.636,37.632,"Medicine, Research & Experimental","1996_2000",0
2,2.5,1.107,2.037,8.808,"Metallurgy & Metallurgical Engineering","1996_2000",0
20,25.235,4.848,21.119,44.477,"Meteorology & Atmospheric Sciences","1996_2000",0
46,46.666,1.305,46.057,53.801,"Microbiology","1996_2000",0
10,17.538,7.678,11.443,49.388,"Microscopy","1996_2000",0
2,2.5,1.107,2.037,8.808,"Mineralogy","1996_2000",0
5,11.667,9.775,5.817,59.411,"Mining & Mineral Processing","1996_2000",0
39,42.493,3.494,39.683,56.866,"Multidisciplinary Sciences","1996_2000",0
33,40.96,7.449,34.682,70.669,"Mycology","1996_2000",0
3,5,2.921,3.246,19.244,"Nanoscience & Nanotechnology","1996_2000",0
24,27.569,3.823,24.644,43.798,"Neurosciences","1996_2000",0
4,8.5,5.275,4.727,31.843,"Nuclear Science & Technology","1996_2000",0
6,9.5,4.677,6.481,31.447,"Nutrition & Dietetics","1996_2000",0
2,2.5,1.107,2.037,8.808,"Obstetrics & Gynecology","1996_2000",0
35,38.119,3.651,35.505,54.266,"Oceanography","1996_2000",0
27,52.254,17.671,34.328,114.031,"Oncology","1996_2000",0
4,6.5,3.655,4.307,24.328,"Operations Research & Management Science","1996_2000",0
1,1,0.312,1,2.549,"Ophthalmology","1996_2000",0
3,5,2.921,3.246,19.244,"Optics","1996_2000",0
23,26.574,3.827,23.644,42.818,"Ornithology","1996_2000",0
33,39.107,6.061,34.205,63.951,"Paleontology","1996_2000",0
37,121.149,96.665,50.94,544.964,"Parasitology","1996_2000",0
25,27.426,2.525,25.452,38.008,"Pathology","1996_2000",0
3,5,2.921,3.246,19.244,"Pediatrics","1996_2000",0
4,8.5,5.275,4.727,31.843,"Peripheral Vascular Disease","1996_2000",0
26,34.101,8.215,27.559,68.107,"Pharmacology & Pharmacy","1996_2000",0
2,2.5,1.107,2.037,8.808,"Philosophy","1996_2000",0
37,39.078,2.501,37.325,50.277,"Physical Geography","1996_2000",0
9,20.136,12.001,10.993,71.23,"Physics","1996_2000",0
26,97.314,82.779,37.665,461.976,"Physiology","1996_2000",0
8,22.286,12.873,11.152,72.742,"Planning & Development","1996_2000",0
45,47.999,4.617,45.346,71.011,"Plant Sciences","1996_2000",0
1,1,0.312,1,2.549,"Political Science","1996_2000",0
1,1,0.312,1,2.549,"Polymer Science","1996_2000",0
1,1,0.312,1,2.549,"Psychiatry","1996_2000",0
8,13.769,7.003,8.894,45.251,"Psychology","1996_2000",0
8,22.318,12.902,11.16,72.887,"Public Administration","1996_2000",0
29,38.914,8.3,31.376,70.361,"Public, Environmental & Occupational Health","1996_2000",0
3,5,2.921,3.246,19.244,"Radiology, Nuclear Medicine & Medical Imaging","1996_2000",0
1,1,0.312,1,2.549,"Religion","1996_2000",0
18,23.586,4.89,19.274,42.498,"Remote Sensing","1996_2000",0
13,24.812,12.701,15.12,78.832,"Reproductive Biology","1996_2000",0
18,21.535,3.79,18.636,37.632,"Research & Experimental Medicine","1996_2000",0
3,4.5,2.872,3.132,20.083,"Respiratory System","1996_2000",0
2,2.5,1.107,2.037,8.808,"Robotics","1996_2000",0
39,43.075,4.042,39.805,59.634,"Science & Technology - Other Topics","1996_2000",0
11,41.72,38.03,15.644,214.212,"Social Sciences","1996_2000",0
9,23.444,13.036,12.182,74.573,"Sociology","1996_2000",0
28,28.745,1.256,28.077,35.238,"Soil Science","1996_2000",0
4,8.5,5.275,4.727,31.843,"Spectroscopy","1996_2000",0
14,24.256,9.895,16.092,64.285,"Statistics & Probability","1996_2000",0
1,1,0.312,1,2.549,"Substance Abuse","1996_2000",0
6,18.5,11.242,8.764,62.521,"Surgery","1996_2000",0
1,1,0.312,1,2.549,"Telecommunications","1996_2000",0
3,5,2.921,3.246,19.244,"Thermodynamics","1996_2000",0
28,32.048,4.018,28.799,48.515,"Toxicology","1996_2000",0
2,2.5,1.107,2.037,8.808,"Transplantation","1996_2000",0
1,1,0.312,1,2.549,"Transportation","1996_2000",0
26,27.545,1.938,26.23,36.384,"Tropical Medicine","1996_2000",0
23,25.538,2.784,23.444,37.489,"Urban Studies","1996_2000",0
5,13,8.069,6.549,46.319,"Urology & Nephrology","1996_2000",0
29,43.947,12.331,32.641,90.354,"Veterinary Sciences","1996_2000",0
35,40.984,6.465,36.068,68.54,"Virology","1996_2000",0
29,45.548,14.744,32.699,103.032,"Water Resources","1996_2000",0
40,43.122,3.655,40.505,59.285,"Zoology","1996_2000",0
25.529,26.024,0.613,25.529,27.226,"Agriculture","1996_2000",1
23.063,23.786,0.775,23.063,25.305,"Agronomy","1996_2000",1
3.586,5.357,2.581,3.586,10.416,"Allergy","1996_2000",1
15.539,20.738,2.478,15.881,25.594,"Anatomy & Morphology","1996_2000",1
19.009,23.064,2.439,19.009,27.844,"Anthropology","1996_2000",1
6.598,10.995,3.774,6.598,18.392,"Archaeology","1996_2000",1
1.649,1.853,0.5,1.649,2.832,"Area Studies","1996_2000",1
2,3.375,1.08,2,5.493,"Art","1996_2000",1
6,26.008,7.826,10.669,41.346,"Astronomy & Astrophysics","1996_2000",1
8.151,16.359,9.721,8.151,35.412,"Automation & Control Systems","1996_2000",1
10.854,12.936,1.807,10.854,16.478,"Behavioral Sciences","1996_2000",1
19.15,22.923,2.287,19.15,27.406,"Biochemical Research Methods","1996_2000",1
21.139,21.499,0.572,21.139,22.62,"Biochemistry & Molecular Biology","1996_2000",1
18.336,18.674,0.602,18.336,19.853,"Biodiversity Conservation","1996_2000",1
20.884,21.811,0.968,20.884,23.708,"Biology","1996_2000",1
2,3.375,1.002,2,5.339,"Biomedical Social Sciences","1996_2000",1
20.027,25.248,3.006,20.027,31.14,"Biophysics","1996_2000",1
23.939,24.644,0.786,23.939,26.186,"Biotechnology & Applied Microbiology","1996_2000",1
10.931,14.421,2.672,10.931,19.658,"Business","1996_2000",1
7.715,30.944,14.954,7.715,60.254,"Cardiology","1996_2000",1
16.88,17.996,1.087,16.88,20.127,"Cell Biology","1996_2000",1
1,0,0,1,0,"Cell & Tissue Engineering","1996_2000",1
21.289,24.239,1.654,21.289,27.481,"Chemistry","1996_2000",1
3.464,6.072,2.765,3.464,11.492,"Clinical Neurology","1996_2000",1
1,0,0,1,0,"Communication","1996_2000",1
16.582,18.909,1.749,16.582,22.337,"Computer Science","1996_2000",1
3,7.184,2.435,3,11.956,"Crystallography","1996_2000",1
1.89,2.52,1.764,1.89,5.978,"Demography","1996_2000",1
6.42,11.753,5.532,6.42,22.596,"Dentistry, Oral Surgery & Medicine","1996_2000",1
4.762,12.419,6.806,4.762,25.759,"Dermatology","1996_2000",1
13.218,16.815,2.363,13.218,21.446,"Developmental Biology","1996_2000",1
21.172,21.275,0.299,21.172,21.861,"Ecology","1996_2000",1
10.054,12.888,2.078,10.054,16.961,"Economics","1996_2000",1
4,12.275,3.727,4.971,19.579,"Education","1996_2000",1
2,3.375,1.139,2,5.608,"Electrochemistry","1996_2000",1
11.931,21.79,5.235,11.931,32.052,"Endocrinology & Metabolism","1996_2000",1
12.776,37.746,19.377,12.776,75.725,"Energy & Fuels","1996_2000",1
18.794,20.984,1.562,18.794,24.046,"Engineering","1996_2000",1
17.776,18.612,0.963,17.776,20.498,"Entomology","1996_2000",1
17.539,19.31,1.378,17.539,22.011,"Environmental Studies","1996_2000",1
1,0,0,1,0,"Ergonomics","1996_2000",1
5.13,8.687,2.534,5.13,13.654,"Ethics","1996_2000",1
20.168,20.534,0.637,20.168,21.783,"Evolutionary Biology","1996_2000",1
20.371,21.377,1.039,20.371,23.413,"Fisheries","1996_2000",1
14.639,19.345,2.678,14.639,24.594,"Food Science & Technology","1996_2000",1
21.067,21.627,0.682,21.067,22.964,"Forestry","1996_2000",1
11.045,13.771,1.91,11.045,17.515,"Gastroenterology & Hepatology","1996_2000",1
9.076,19.807,8.709,9.076,36.877,"General & Internal Medicine","1996_2000",1
20.085,20.346,0.511,20.085,21.348,"Genetics & Heredity","1996_2000",1
4,12.275,4.006,4.424,20.126,"Geochemistry & Geophysics","1996_2000",1
21.289,22.45,1.02,21.289,24.449,"Geography","1996_2000",1
18.831,19.752,0.919,18.831,21.554,"Geology","1996_2000",1
18.949,20.321,1.187,18.949,22.648,"Geosciences, Multidisciplinary","1996_2000",1
1,0,0,1,0,"Geriatrics & Gerontology","1996_2000",1
4,12.275,3.727,4.97,19.58,"Government & Law","1996_2000",1
2,3.375,1.075,2,5.482,"Health Care Sciences & Services","1996_2000",1
1,0,0,1,0,"Health Policy & Services","1996_2000",1
11.897,32.564,19.029,11.897,69.861,"Hematology","1996_2000",1
5.538,7.326,1.671,5.538,10.602,"History","1996_2000",1
20.299,21.314,0.944,20.299,23.165,"Horticulture","1996_2000",1
1.89,2.52,1.798,1.89,6.043,"Hospitality, Leisure, Sport & Tourism","1996_2000",1
11.308,19.633,4.567,11.308,28.585,"Imaging Science & Photographic Technology","1996_2000",1
18.739,19.419,0.858,18.739,21.1,"Immunology","1996_2000",1
18.383,19.757,1.063,18.383,21.839,"Infectious Diseases","1996_2000",1
3,7.184,2.402,3,11.892,"Information Science & Library Science","1996_2000",1
6,26.008,7.483,11.341,40.674,"Instruments & Instrumentation","1996_2000",1
9.666,31.141,19.26,9.666,68.891,"Integrative & Complementary Medicine","1996_2000",1
5,18.564,5.612,7.565,29.563,"International Relations","1996_2000",1
1,0,0,1,0,"Language & Linguistics","1996_2000",1
3,7.184,2.296,3,11.684,"Law","1996_2000",1
3,7.184,2.348,3,11.786,"Legal Medicine","1996_2000",1
20.884,21.811,0.948,20.884,23.669,"Life Sciences & Biomedicine - Other Topics","1996_2000",1
18.714,21.216,1.891,18.714,24.923,"Limnology","1996_2000",1
1,0,0,1,0,"Linguistics","1996_2000",1
2.828,4.891,3.539,2.828,11.828,"Management","1996_2000",1
20.753,21.078,0.504,20.753,22.065,"Marine & Freshwater Biology","1996_2000",1
9,55.044,15.704,24.266,85.823,"Materials Science","1996_2000",1
11.6,13.677,1.648,11.6,16.907,"Mathematical & Computational Biology","1996_2000",1
1,0,0,1,0,"Mathematical Methods In Social Sciences","1996_2000",1
13.747,20.808,4.824,13.747,30.263,"Mathematics","1996_2000",1
3,7.184,2.445,3,11.976,"Mechanics","1996_2000",1
9.718,26.776,17.638,9.718,61.345,"Medical Subscience","1996_2000",1
9.076,19.807,10.23,9.076,39.857,"Medicine, General & Internal","1996_2000",1
3,7.184,2.448,3,11.982,"Medicine, Legal","1996_2000",1
12.294,15.227,2.269,12.294,19.675,"Medicine, Research & Experimental","1996_2000",1
2,3.375,1.139,2,5.608,"Metallurgy & Metallurgical Engineering","1996_2000",1
14.613,18.942,2.619,14.613,24.076,"Meteorology & Atmospheric Sciences","1996_2000",1
23.479,23.821,0.553,23.479,24.904,"Microbiology","1996_2000",1
9.441,19.763,7.424,9.441,34.313,"Microscopy","1996_2000",1
2,3.375,1.156,2,5.64,"Mineralogy","1996_2000",1
4.762,12.419,6.99,4.762,26.12,"Mining & Mineral Processing","1996_2000",1
20.462,21.387,0.974,20.462,23.297,"Multidisciplinary Sciences","1996_2000",1
19.836,22.105,1.746,19.836,25.528,"Mycology","1996_2000",1
3,7.184,2.416,3,11.919,"Nanoscience & Nanotechnology","1996_2000",1
14.352,16.278,1.532,14.352,19.281,"Neurosciences","1996_2000",1
4,12.275,3.686,5.051,19.499,"Nuclear Science & Technology","1996_2000",1
5.657,10.706,5.277,5.657,21.048,"Nutrition & Dietetics","1996_2000",1
2,3.375,1.106,2,5.543,"Obstetrics & Gynecology","1996_2000",1
18.337,19.102,0.864,18.337,20.795,"Oceanography","1996_2000",1
14.13,20.458,3.98,14.13,28.258,"Oncology","1996_2000",1
3.464,6.072,2.125,3.464,10.237,"Operations Research & Management Science","1996_2000",1
1,0,0,1,0,"Ophthalmology","1996_2000",1
3,7.184,2.402,3,11.892,"Optics","1996_2000",1
12.692,14.079,1.202,12.692,16.434,"Ornithology","1996_2000",1
18.733,19.931,1.1,18.733,22.086,"Paleontology","1996_2000",1
21.401,25.392,2.289,21.401,29.879,"Parasitology","1996_2000",1
14.198,16.44,1.58,14.198,19.537,"Pathology","1996_2000",1
3,7.184,2.4,3,11.888,"Pediatrics","1996_2000",1
4,12.275,3.69,5.043,19.507,"Peripheral Vascular Disease","1996_2000",1
19.197,22.172,1.858,19.197,25.813,"Pharmacology & Pharmacy","1996_2000",1
2,3.375,1.101,2,5.533,"Philosophy","1996_2000",1
20.576,21.603,0.989,20.576,23.541,"Physical Geography","1996_2000",1
8.549,21.892,10.767,8.549,42.995,"Physics","1996_2000",1
16.037,21.984,4.044,16.037,29.911,"Physiology","1996_2000",1
4.971,8.063,2.782,4.971,13.516,"Planning & Development","1996_2000",1
23.724,23.948,0.45,23.724,24.83,"Plant Sciences","1996_2000",1
1,0,0,1,0,"Political Science","1996_2000",1
1,0,0,1,0,"Polymer Science","1996_2000",1
1,0,0,1,0,"Psychiatry","1996_2000",1
6.856,12.028,5.238,6.856,22.295,"Psychology","1996_2000",1
4.821,7.651,2.757,4.821,13.055,"Public Administration","1996_2000",1
18.816,22.578,2.432,18.816,27.345,"Public, Environmental & Occupational Health","1996_2000",1
3,7.184,2.339,3,11.768,"Radiology, Nuclear Medicine & Medical Imaging","1996_2000",1
1,0,0,1,0,"Religion","1996_2000",1
16.533,26.227,4.875,16.671,35.782,"Remote Sensing","1996_2000",1
10.409,16.312,3.858,10.409,23.872,"Reproductive Biology","1996_2000",1
12.294,15.227,2.159,12.294,19.458,"Research & Experimental Medicine","1996_2000",1
2.828,4.891,2.983,2.828,10.738,"Respiratory System","1996_2000",1
2,3.375,1.136,2,5.601,"Robotics","1996_2000",1
20.608,21.546,0.938,20.608,23.384,"Science & Technology - Other Topics","1996_2000",1
7.051,13.515,6.021,7.051,25.317,"Social Sciences","1996_2000",1
5.5,8.177,2.298,5.5,12.681,"Sociology","1996_2000",1
21.931,24.373,1.419,21.931,27.154,"Soil Science","1996_2000",1
4,12.275,3.682,5.059,19.491,"Spectroscopy","1996_2000",1
11.572,19.051,4.844,11.572,28.545,"Statistics & Probability","1996_2000",1
1,0,0,1,0,"Substance Abuse","1996_2000",1
6,26.008,7.427,11.452,40.563,"Surgery","1996_2000",1
1,0,0,1,0,"Telecommunications","1996_2000",1
3,7.184,2.3,3,11.691,"Thermodynamics","1996_2000",1
21.314,24.783,1.931,21.314,28.567,"Toxicology","1996_2000",1
2,3.375,1.124,2,5.578,"Transplantation","1996_2000",1
1,0,0,1,0,"Transportation","1996_2000",1
20.033,23.542,2.004,20.033,27.47,"Tropical Medicine","1996_2000",1
17.495,20.988,2.01,17.495,24.928,"Urban Studies","1996_2000",1
5,18.564,5.593,7.602,29.526,"Urology & Nephrology","1996_2000",1
22.485,29.587,3.39,22.943,36.231,"Veterinary Sciences","1996_2000",1
18.586,19.689,1.122,18.586,21.888,"Virology","1996_2000",1
19.489,23.004,2.155,19.489,27.228,"Water Resources","1996_2000",1
17.217,17.557,0.588,17.217,18.709,"Zoology","1996_2000",1
20.407,20.764,0.629,20.407,21.996,"Agriculture","1996_2000",2
18.254,18.644,0.673,18.254,19.963,"Agronomy","1996_2000",2
3.267,5.25,2.955,3.267,11.042,"Allergy","1996_2000",2
13.46,20.027,3.186,13.782,26.272,"Anatomy & Morphology","1996_2000",2
14.111,15.75,1.682,14.111,19.047,"Anthropology","1996_2000",2
6.25,15,4.142,6.882,23.118,"Archaeology","1996_2000",2
1.471,1.667,0.549,1.471,2.743,"Area Studies","1996_2000",2
2,2,0.466,2,2.913,"Art","1996_2000",2
6,6,4.388,6,14.6,"Astronomy & Astrophysics","1996_2000",2
7.348,15.6,5.652,7.348,26.679,"Automation & Control Systems","1996_2000",2
7.114,7.84,1.438,7.114,10.659,"Behavioral Sciences","1996_2000",2
15.225,17.611,2.037,15.225,21.602,"Biochemical Research Methods","1996_2000",2
13.019,13.118,0.565,13.019,14.224,"Biochemistry & Molecular Biology","1996_2000",2
12.167,12.281,0.49,12.167,13.242,"Biodiversity Conservation","1996_2000",2
15.022,15.405,0.84,15.022,17.052,"Biology","1996_2000",2
2,2,0.478,2,2.937,"Biomedical Social Sciences","1996_2000",2
13.896,15.4,1.906,13.896,19.136,"Biophysics","1996_2000",2
17.096,17.38,0.62,17.096,18.594,"Biotechnology & Applied Microbiology","1996_2000",2
6.391,7.163,1.928,6.391,10.941,"Business","1996_2000",2
7.364,36,12.181,12.126,59.874,"Cardiology","1996_2000",2
10.595,10.89,0.989,10.595,12.829,"Cell Biology","1996_2000",2
1,1,0,1,1,"Cell & Tissue Engineering","1996_2000",2
16.658,17.738,1.254,16.658,20.197,"Chemistry","1996_2000",2
3,5,2.813,3,10.514,"Clinical Neurology","1996_2000",2
1,1,0,1,1,"Communication","1996_2000",2
12.859,14.382,1.652,12.859,17.62,"Computer Science","1996_2000",2
3,3,0.528,3,4.035,"Crystallography","1996_2000",2
1.8,3,0.931,1.8,4.825,"Demography","1996_2000",2
5.233,7.5,3.814,5.233,14.976,"Dentistry, Oral Surgery & Medicine","1996_2000",2
4.5,15,4.661,5.865,24.135,"Dermatology","1996_2000",2
9.041,10.388,2.051,9.041,14.408,"Developmental Biology","1996_2000",2
14.678,14.719,0.279,14.678,15.266,"Ecology","1996_2000",2
5.679,6.322,1.964,5.679,10.171,"Economics","1996_2000",2
4,4,1.531,4,7,"Education","1996_2000",2
2,2,0.462,2,2.905,"Electrochemistry","1996_2000",2
10.939,24.429,5.363,13.917,34.941,"Endocrinology & Metabolism","1996_2000",2
10.796,19.462,12.054,10.796,43.087,"Energy & Fuels","1996_2000",2
14.913,16.112,1.173,14.913,18.411,"Engineering","1996_2000",2
11.986,12.278,0.869,11.986,13.982,"Entomology","1996_2000",2
11.008,11.52,1.325,11.008,14.117,"Environmental Studies","1996_2000",2
1,1,0,1,1,"Ergonomics","1996_2000",2
4.091,5.25,1.925,4.091,9.022,"Ethics","1996_2000",2
12.816,12.926,0.518,12.816,13.941,"Evolutionary Biology","1996_2000",2
14.44,14.887,0.943,14.44,16.736,"Fisheries","1996_2000",2
12.623,16.891,2.407,12.623,21.608,"Food Science & Technology","1996_2000",2
14.746,14.978,0.734,14.746,16.415,"Forestry","1996_2000",2
7.983,9.12,1.711,7.983,12.474,"Gastroenterology & Hepatology","1996_2000",2
8.167,18.2,9.654,8.167,37.121,"General & Internal Medicine","1996_2000",2
12.871,12.952,0.49,12.871,13.912,"Genetics & Heredity","1996_2000",2
4,4,1.485,4,6.911,"Geochemistry & Geophysics","1996_2000",2
15.415,15.916,0.945,15.415,17.768,"Geography","1996_2000",2
13.89,14.376,0.901,13.89,16.143,"Geology","1996_2000",2
14.056,14.736,1.071,14.056,16.835,"Geosciences, Multidisciplinary","1996_2000",2
1,1,0,1,1,"Geriatrics & Gerontology","1996_2000",2
4,4,1.382,4,6.708,"Government & Law","1996_2000",2
2,2,0.471,2,2.924,"Health Care Sciences & Services","1996_2000",2
1,1,0,1,1,"Health Policy & Services","1996_2000",2
10.704,27.2,21.049,10.704,68.456,"Hematology","1996_2000",2
4.587,5.913,1.58,4.587,9.009,"History","1996_2000",2
16.363,16.989,0.861,16.363,18.676,"Horticulture","1996_2000",2
1.8,3,0.879,1.8,4.724,"Hospitality, Leisure, Sport & Tourism","1996_2000",2
10.704,27.2,5.622,16.181,38.219,"Imaging Science & Photographic Technology","1996_2000",2
11.832,12.031,0.718,11.832,13.438,"Immunology","1996_2000",2
12.705,13.236,1.083,12.705,15.359,"Infectious Diseases","1996_2000",2
3,3,0.494,3,3.969,"Information Science & Library Science","1996_2000",2
6,6,4.518,6,14.855,"Instruments & Instrumentation","1996_2000",2
8.333,17.5,18.406,8.333,53.575,"Integrative & Complementary Medicine","1996_2000",2
5,5,2.654,5,10.201,"International Relations","1996_2000",2
1,1,0,1,1,"Language & Linguistics","1996_2000",2
3,3,0.457,3,3.896,"Law","1996_2000",2
3,3,0.476,3,3.933,"Legal Medicine","1996_2000",2
15.022,15.405,0.81,15.022,16.992,"Life Sciences & Biomedicine - Other Topics","1996_2000",2
13.249,14.278,1.378,13.249,16.979,"Limnology","1996_2000",2
1,1,0,1,1,"Linguistics","1996_2000",2
2.667,6,1.877,2.667,9.68,"Management","1996_2000",2
14.442,14.555,0.469,14.442,15.474,"Marine & Freshwater Biology","1996_2000",2
9,9,12.371,9,33.247,"Materials Science","1996_2000",2
8.899,10.331,1.762,8.899,13.784,"Mathematical & Computational Biology","1996_2000",2
1,1,0,1,1,"Mathematical Methods In Social Sciences","1996_2000",2
11.436,15.766,3.938,11.436,23.485,"Mathematics","1996_2000",2
3,3,0.544,3,4.066,"Mechanics","1996_2000",2
8.533,17.143,14.29,8.533,45.151,"Medical Subscience","1996_2000",2
8.167,18.2,7.594,8.167,33.083,"Medicine, General & Internal","1996_2000",2
3,3,0.437,3,3.856,"Medicine, Legal","1996_2000",2
8.38,9.706,2.105,8.38,13.832,"Medicine, Research & Experimental","1996_2000",2
2,2,0.475,2,2.931,"Metallurgy & Metallurgical Engineering","1996_2000",2
10.962,13.5,2.229,10.962,17.87,"Meteorology & Atmospheric Sciences","1996_2000",2
16.048,16.197,0.595,16.048,17.363,"Microbiology","1996_2000",2
8.895,26,10.591,8.895,46.757,"Microscopy","1996_2000",2
2,2,0.494,2,2.968,"Mineralogy","1996_2000",2
4.5,15,4.653,5.879,24.121,"Mining & Mineral Processing","1996_2000",2
14.996,15.419,0.766,14.996,16.919,"Multidisciplinary Sciences","1996_2000",2
13.917,14.873,1.517,13.917,17.845,"Mycology","1996_2000",2
3,3,0.581,3,4.139,"Nanoscience & Nanotechnology","1996_2000",2
9.55,10.303,1.469,9.55,13.183,"Neurosciences","1996_2000",2
4,4,1.594,4,7.125,"Nuclear Science & Technology","1996_2000",2
5.333,14,6.423,5.333,26.59,"Nutrition & Dietetics","1996_2000",2
2,2,0.477,2,2.934,"Obstetrics & Gynecology","1996_2000",2
12.994,13.321,0.787,12.994,14.862,"Oceanography","1996_2000",2
7.36,8.063,2.086,7.36,12.151,"Oncology","1996_2000",2
3,5,2.121,3,9.158,"Operations Research & Management Science","1996_2000",2
1,1,0,1,1,"Ophthalmology","1996_2000",2
3,3,0.574,3,4.125,"Optics","1996_2000",2
8.548,9.046,1.081,8.548,11.164,"Ornithology","1996_2000",2
14.313,14.907,0.863,14.313,16.598,"Paleontology","1996_2000",2
15.051,15.987,1.51,15.051,18.947,"Parasitology","1996_2000",2
8.969,9.737,1.473,8.969,12.625,"Pathology","1996_2000",2
3,3,0.574,3,4.125,"Pediatrics","1996_2000",2
4,4,1.5,4,6.94,"Peripheral Vascular Disease","1996_2000",2
15.863,18.023,1.668,15.863,21.292,"Pharmacology & Pharmacy","1996_2000",2
2,2,0.478,2,2.937,"Philosophy","1996_2000",2
15.275,15.813,0.877,15.275,17.531,"Physical Geography","1996_2000",2
8.067,27.5,12.948,8.067,52.877,"Physics","1996_2000",2
11.17,12.381,1.838,11.17,15.984,"Physiology","1996_2000",2
3.706,4.286,1.355,3.706,6.941,"Planning & Development","1996_2000",2
17.58,17.694,0.392,17.58,18.463,"Plant Sciences","1996_2000",2
1,1,0,1,1,"Political Science","1996_2000",2
1,1,0,1,1,"Polymer Science","1996_2000",2
1,1,0,1,1,"Psychiatry","1996_2000",2
5.828,9.75,4.592,5.828,18.75,"Psychology","1996_2000",2
3.559,4.053,1.172,3.559,6.35,"Public Administration","1996_2000",2
12.988,14.5,2.048,12.988,18.515,"Public, Environmental & Occupational Health","1996_2000",2
3,3,0.437,3,3.856,"Radiology, Nuclear Medicine & Medical Imaging","1996_2000",2
1,1,0,1,1,"Religion","1996_2000",2
15.291,31.231,4.73,21.96,40.501,"Remote Sensing","1996_2000",2
8.711,12.194,3.072,8.711,18.214,"Reproductive Biology","1996_2000",2
8.38,9.706,2.026,8.38,13.676,"Research & Experimental Medicine","1996_2000",2
2.667,6,1.802,2.667,9.531,"Respiratory System","1996_2000",2
2,2,0.477,2,2.934,"Robotics","1996_2000",2
